gene,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
FAM96A,4.83689473,5.668134594,14.67899708,18.89481386,10.41012881,14.07297827,15.36026903,11.64380256,11.10389226,20.24809617
FAM96B,3.825544014,5.052988204,6.546039237,6.841776932,4.94177321,4.799246436,4.86340972,10.41656373,12.99329801,14.53290773
FAM98A,13.80713587,15.64229392,13.52186893,18.76693018,8.668356287,10.06759215,9.118893226,23.61686433,17.20812623,24.7476731
FAM98B,21.37028035,17.75136726,18.97690163,23.8503065,14.74430695,16.88757392,15.84661001,10.41656373,16.48143171,27.39661758
FAM98C,2.682277987,2.372707505,2.049769862,3.165121104,3.402532374,2.778511094,3.769142533,2.364679698,2.151015779,1.868775901
FAN1,21.72205452,22.05739199,14.97654431,11.09390932,10.89620486,14.50599299,14.87392806,10.65602497,15.08617823,12.93628366
FANCA,0.483689473,2.065134309,15.43939557,8.504264784,4.820254197,7.072573695,9.078364811,17.39087221,9.883045469,10.72278211
FANCB,0.923407176,0.790902502,4.06647892,2.333877178,0.769620418,1.479466946,2.229062788,6.495386006,5.232200542,4.027847087
FANCC,3.517741622,2.548463616,5.620336719,7.513166257,5.792406304,5.44876851,6.72771678,10.68595762,2.877710298,8.690715112
FANCD2,1.275181338,2.504524588,25.95273132,16.56093669,6.764558411,9.201562715,9.362063712,17.89972733,13.1677047,20.62910873
FANCE,1.58298373,2.109073337,2.677925142,2.429789938,1.336709147,1.984650782,2.472233275,3.172861367,2.20915134,3.501686882
FANCF,2.330503825,1.362109864,6.909708083,7.417253496,4.455697157,5.520937629,6.646659951,15.6248456,7.266945198,12.86370984
FANCG,1.758870811,3.207549034,5.752579935,4.923521717,3.524051388,3.572371407,4.620239234,8.351210579,3.69160816,10.10590463
FANCI,2.374475595,4.613597925,28.33310922,17.93568626,8.141773895,10.39235318,11.18584236,23.82639291,12.64448464,30.78944373
FANCL,6.771652622,4.965110148,5.984005565,5.083376319,4.739241521,4.690992757,6.200847393,9.30905552,10.05745215,7.039660675
